Time,pickup_number
00,0
01,1
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
00,0
01,1
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
00,0
01,0
02,0
03,1
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
00,1
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,1
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
00,1
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
00,1
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,0
00,0
01,0
02,0
03,0
04,0
05,0
06,1
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
00,0
01,1
02,0
03,0
04,1
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,0
00,0
01,1
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
00,0
01,1
02,0
03,0
04,0
05,0
06,0
07,0
08,1
09,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
